Institute,Program,Quota,Category,Gender,Opening Rank,Closing Rank,Closed_In_Round,Institute_Type
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,580873,910722,2,GFTI
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),240184,240184,1,GFTI
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,360539,408710,3,GFTI
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),443953,443953,2,GFTI
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,492160,503619,3,GFTI
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,533846,548370,2,GFTI
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,EWS,Female-only (including Supernumerary),20808,20808,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,12013,12345,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Female-only (including Supernumerary),25786,25786,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,13671,15140,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Female-only (including Supernumerary),17703,17703,2,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,11090,11201,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,66034,69345,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering for DASA-CIWG (4 Years, Bachelor of Technology)",DASA-CIWG,OPEN,Gender-Neutral,341191,396304,2,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering for DASA-Non CIWG (4 Years, Bachelor of Technology)",DASA-Non CIWG,OPEN,Gender-Neutral,281313,530871,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,EWS,Female-only (including Supernumerary),35771,35771,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,23095,23095,3,IIIT
